FID,OBJECTID,IDNUMBER,SHAPE_Leng,SHAPE_Area,FID_1,OBJECTID_1,CLASSIFICA,Shape_Ar_1,POLY_AREA,PERIMETER,PART_COUNT
0,2,508,15.53469244,6.321537449,4,6,2b,379045.123,3479219.136,43062.26407,13
1,3,509,16.21729143,8.357765716,4,6,2b,379045.123,3479219.136,43062.26407,13
2,4,504,38.94834492,60.23335412,4,6,2b,379045.123,3479219.136,43062.26407,13
3,5,506,19.86631175,15.85329739,4,6,2b,379045.123,3479219.136,43062.26407,13
4,6,505,16.95259647,17.13479361,4,6,2b,379045.123,3479219.136,43062.26407,13
5,8,510,23.89139105,36.58358203,4,6,2b,379045.123,3479219.136,43062.26407,13
6,9,502,50.04259954,114.121386,4,6,2b,379045.123,3479219.136,43062.26407,13
7,10,501,18.72169895,18.5131922,4,6,2b,379045.123,3479219.136,43062.26407,13
8,11,512,16.02019842,15.68353536,4,6,2b,379045.123,3479219.136,43062.26407,13
9,12,511,18.20162666,22.54187303,4,6,2b,379045.123,3479219.136,43062.26407,13
10,13,513,13.57009035,7.777170328,4,6,2b,379045.123,3479219.136,43062.26407,13
11,14,519,24.78320432,26.11569287,4,6,2b,379045.123,3479219.136,43062.26407,13
12,15,0,7.234548929,3.244305258,4,6,2b,379045.123,3479219.136,43062.26407,13
13,16,0,4.457433932,1.21039823,4,6,2b,379045.123,3479219.136,43062.26407,13
14,17,520,17.20240656,17.01998162,4,6,2b,379045.123,3479219.136,43062.26407,13
15,18,514,20.2157608,27.56002829,4,6,2b,379045.123,3479219.136,43062.26407,13
16,19,515,9.395737125,5.495032137,4,6,2b,379045.123,3479219.136,43062.26407,13
17,20,516,13.98798353,10.17053276,4,6,2b,379045.123,3479219.136,43062.26407,13
18,21,517,12.81707908,5.135247533,4,6,2b,379045.123,3479219.136,43062.26407,13
19,22,518,18.16829532,18.03099004,4,6,2b,379045.123,3479219.136,43062.26407,13
20,25,503,11.29482443,8.485526264,4,6,2b,379045.123,3479219.136,43062.26407,13
21,23,0,11.2359516,7.045918897,5,5,2a,142121.7446,368801.4304,9841.932476,2
22,24,0,6.499819023,2.495488505,5,5,2a,142121.7446,368801.4304,9841.932476,2
23,7,507,25.97647704,24.12687971,0,0,2a,0,0,0,0
