FID,OBJECTID,class,shape_leng,shape_area,slp_range,slp_mean,group
0,49,3b,13.13642284,11.14878835,8.235879898,28.99710482,Missed2017
1,50,3b,8.809858196,4.752973065,3.1674366,33.0423247,Missed2017
2,52,3b,9.941692774,6.810103272,9.011465073,23.66895413,Missed2017
3,8,2c,12.37974568,8.494751045,15.22180939,19.73609516,Missed2017
4,13,2c,18.01979208,18.38246327,11.4663868,25.79893751,Missed2017
5,14,2c,21.25734964,25.3494022,8.681650162,26.00378315,Missed2017
6,15,2b,19.28714649,21.08760095,22.62608814,25.39909137,Missed2017
7,16,2b,13.55225942,12.25846791,15.06523514,27.18289258,Missed2017
8,17,2b,9.307941732,5.942196474,8.530893326,25.49363136,Missed2017
9,19,2b,7.092224575,3.271379044,0.369895935,26.69068336,Missed2017
10,20,2a,6.561175985,2.528711385,0.034191132,32.13267708,Missed2017
11,21,2a,5.646715822,2.192033046,2.39323616,29.48540306,Missed2017
12,18,2d,16.36549782,16.43595454,28.116992,27.76515919,Missed2017
13,22,2d,10.55903258,7.223933812,3.920757294,23.00679534,Missed2017
14,23,Qal,12.806929,10.28529526,13.15389061,36.57821846,Missed2017
15,25,Qal,13.42893971,9.770638325,21.25523591,14.63850057,Missed2017
