FID,OBJECTID,class,shape_leng,shape_area,slp_range,slp_mean,group,notes
0,43,3b,12.21889966,7.256115861,3.279388428,47.39226103,Other, 
1,44,3b,21.53210455,27.45372052,14.85039139,28.43308428,Other, 
2,45,3b,6.228437526,2.133132996,2.506153107,43.84459114,Other, 
3,46,3b,7.198305161,3.125262763,4.121160507,34.0224069,Other, 
4,47,3b,12.35607484,8.037582257,7.088699341,38.19990867,Other, 
5,48,3b,4.709543807,1.438879086,5.084560394,37.60899544,Other, 
6,50,3b,13.87766675,11.71461277,22.30205917,33.42446677,Other, 
7,51,3b,13.79827504,11.26252943,19.24555016,39.30152206,Other,2017?
8,52,3b,23.3654555,25.77881368,29.55852509,27.36392339,Other,2017?
9,53,3b,10.53108169,5.83829165,2.265609741,34.72478294,Other,2017?
10,54,3b,8.16121632,3.738090767,2.217666626,32.30426741,Other,2017?
11,55,3b,7.999555714,3.931560508,12.31327057,36.84990788,Other, 
12,56,3b,11.72770349,7.578197745,24.61245728,38.39540155,Other, 
13,58,3b,13.54349372,6.896170426,10.91286087,38.74195544,Other, 
14,61,3b,20.1564577,23.84850984,14.03355026,42.79168253,Other,blocky
15,62,3b,10.13660559,6.52093491,7.238563538,46.28164019,Other,blocky
16,63,3b,5.318550217,1.862104423,0,49.25396347,Other,above another landslide
17,64,3b,20.9834364,26.25369929,13.73060226,46.45665007,Other,blocky
18,65,3b,6.702868804,3.080464185,3.461448669,47.23071543,Other,small blocky
19,66,3b,19.90390872,21.86597101,9.834609985,46.59353973,Other,blocky
20,71,3b,11.27055474,7.969504455,10.21054268,32.99964862,Other, 
21,72,3b,12.50883468,11.08269548,9.446163177,30.66055187,Other, 
22,73,3b,16.5807845,14.76094791,14.41546631,28.91384697,Other, 
23,74,3b,9.877310815,6.318996022,4.34960556,29.56185913,Other, 
24,75,3b,10.43426922,6.309327606,7.95038414,33.42079135,Other, 
25,76,3b,28.09901817,41.04762754,12.96695518,21.76773703,Other, 
26,78,3b,8.411974645,4.320229334,6.774522781,30.98134518,Other, 
27,79,3b,7.578319331,2.966057404,10.61198807,18.27235317,Other,llinear slide
28,80,3b,10.00486034,7.042383195,15.22512245,25.40825009,Other, 
29,81,3b,10.45724432,5.696074064,3.235872269,26.28598944,Other, 
30,82,3b,11.44452452,7.197705169,10.35182762,25.93873514,Other,crack in 2017
31,83,3b,28.04415167,36.93562213,26.29250622,22.8872296,Other,one large slump block
32,84,3b,15.82814315,14.95235207,17.37858391,30.69933583,Other,linear
33,85,3b,14.78114066,12.21626296,6.379764557,27.49963819,Other,somwhat linear
34,86,3b,11.06269153,5.5036219,10.05499649,22.33269405,Other,linear
35,87,3b,9.487073728,5.7144577,9.495307922,28.96554947,Other, 
36,88,3b,11.51438699,8.213928559,13.20004463,31.00328732,Other,slumpy
37,89,3b,9.991360779,6.982350141,6.926273346,30.54870088,Other,slumpy or linear???
38,90,3b,11.59507774,7.24910217,17.10024643,28.42304198,Other,slump
39,12,3c,12.83141552,7.901475904,25.55421686,22.2583056,Other, 
40,13,3c,18.66311542,10.71708748,20.40532494,17.44812866,Other, 
41,49,3c,19.31247906,22.84992038,20.79702377,30.49940159,Other, 
42,69,3c,14.92556056,14.33820221,13.91476059,23.88584188,Other,blocky
43,77,3c,17.41204078,18.52968614,7.478965759,45.10716572,Other, 
44,91,3c,4.914790407,1.72923026,0,22.44745064,Other,above 2017 slide
45,92,3c,4.025836103,1.083139575,0,28.37692261,Other,above 2017 slide
46,59,3a,6.152756957,2.253902064,0,31.55500031,Other, 
47,67,3a,20.49498834,25.6866066,12.32968521,29.18698608,Other,blocky
48,68,3a,15.65639374,12.87343997,9.062103271,41.54258537,Other, 
49,70,3a,9.379165982,5.426028405,5.082904816,36.86354351,Other,blocky
50,26,2c,12.08940706,8.38018252,15.80656052,28.17848078,Other,appears that slide is beneath tree
51,35,2c,22.84813831,33.28487183,7.259807587,43.14636798,Other, 
52,36,2c,9.967499174,6.759566056,8.160713196,42.2550931,Other, 
53,37,2c,8.098969882,3.595762129,8.402301788,42.3425204,Other, 
54,38,2c,13.73292036,10.47098665,8.983398438,36.56318387,Other, 
55,39,2c,14.65194994,12.14972238,8.80597496,29.15750424,Other, 
56,101,2c,18.69161119,18.78345213,15.00097942,22.17202387,Other, 
57,1,2b,34.26656498,50.95512873,20.34167385,22.88354809,Other, 
58,3,2b,7.590092749,3.843418201,5.170726776,26.92036591,Other, 
59,4,2b,25.19224139,40.79185804,14.10508537,25.09964811,Other, 
60,5,2b,26.38546768,33.85848707,18.00269032,23.97287679,Other, 
61,6,2b,9.230504945,4.835980968,3.411039352,27.01703606,Other, 
62,7,2b,13.2117324,8.787655989,6.170988083,28.26706717,Other, 
63,8,2b,6.07675512,2.26066985,2.504648209,27.01389758,Other, 
64,9,2b,5.143324198,1.785542739,1.751312256,28.9463253,Other, 
65,10,2b,10.24660249,4.770252738,2.90504837,23.53868103,Other, 
66,11,2b,10.07290151,5.436542802,2.618930817,23.80898819,Other, 
67,100,2b,20.53767835,22.69297067,16.16135979,26.96250491,Other, 
