FID,OBJECTID,class,shape_leng,shape_area,slp_range,slp_mean,group,IDNUMBER,length to toe (m),depth 1 T (m),depth 2 M (m),depth 3 B (m),average depth (m),,class_int
0,1,2b,15.53469244,6.321537449,13.91057587,22.60241432,Rhonda,508,7.8,0.35,0.45,0.5,0.43,,2
1,2,2b,16.21729143,8.357765716,7.682998657,23.77215926,Rhonda,509,6,0.3,0.35,0.25,0.3,,2
2,3,2b,38.94834492,60.23335412,22.61099529,22.51534618,Rhonda,504,16.5,0.3,0.6,0.6,0.5,,2
3,4,2b,19.86631175,15.85329739,14.72471142,23.05411375,Rhonda,506,,,,,,,2
4,5,2b,16.95259647,17.13479361,17.58962727,25.27006494,Rhonda,505,4.9,0.35,0.25,0.3,0.3,,2
5,7,2b,23.89139105,36.58358203,18.93590927,22.02832514,Rhonda,510,5.5,0.3,0.25,0.35,0.3,,2
6,8,2b,50.04259954,114.121386,22.42204285,23.1415542,Rhonda,502,16.2,0.5,0.65,0.8,0.65,,2
7,9,2b,18.72169895,18.5131922,10.03678322,24.95875816,Rhonda,501,9.2,0.35,0.55,0.5,0.47,,2
8,10,2b,16.02019842,15.68353536,4.828439713,24.32072436,Rhonda,512,8.5,0.47,0.6,0.45,0.51,,2
9,11,2b,18.20162666,22.54187303,15.95581818,22.23224188,Rhonda,511,5.7,0.45,0.35,0.5,0.43,,2
10,12,2b,13.57009035,7.777170328,12.8683567,22.74268484,Rhonda,513,5.3,0.4,0.4,0.3,0.37,,2
11,13,2b,24.78320432,26.11569287,9.181720734,22.79541886,Rhonda,519,10.2,0.55,0.5,0.6,0.55,,2
12,14,2b,7.234548929,3.244305258,3.865566254,35.68558407,Rhonda,0,,,,,,,2
13,15,2b,4.457433932,1.21039823,0,26.85802269,Rhonda,0,,,,,,,2
14,16,2b,17.20240656,17.01998162,11.21901321,24.59558195,Rhonda,520,6.2,0.5,0.5,0.55,0.52,,2
15,17,2b,20.2157608,27.56002829,17.71245956,25.99182688,Rhonda,514,7.8,0.5,0.55,0.5,0.52,,2
16,18,2b,9.395737125,5.495032137,2.633731842,27.3984333,Rhonda,515,3.8,0.45,0.5,0.45,0.47,,2
17,19,2b,13.98798353,10.17053276,5.738019943,22.71352074,Rhonda,516,5.5,0.42,0.45,0.5,0.46,,2
18,20,2b,12.81707908,5.135247533,10.07912636,24.76949183,Rhonda,517,4.3,0.35,0.4,0.3,0.35,,2
19,21,2b,18.16829532,18.03099004,7.164703369,26.34376314,Rhonda,518,6.6,0.5,0.45,0.6,0.52,,2
20,24,2b,11.29482443,8.485526264,9.38105011,23.90434837,Rhonda,503,,,0.45,,0.45,,2
21,22,2a,11.2359516,7.045918897,6.184856415,28.77822049,Rhonda,0,,,,,,,1
22,23,2a,6.499819023,2.495488505,0.276077271,34.58155441,Rhonda,0,,,,,,,1
23,6,2a,25.97647704,24.12687971,13.44193268,28.71086527,Rhonda,507,7.9,0.35,0.6,0.25,0.4,,1
